p0,p1
359.299|-120.929,37.3743|-200
-233.981|197.092,255.182|192.237
-399.446|14.8815,234.86|-196.939
-262.854|-189.867,65.8387|200
394.851|45.0902,-104.486|-200
-395.205|-43.5307,-269.503|187.535
277.041|184.566,-146.527|-200
392.769|-53.2929,-19.5952|200
168.126|-200,-19.5952|200
-346.54|136.111,-19.5952|200
-89.8108|-200,107.336|-200
215.272|199.416,233.378|197.195
375.944|-95.0985,222.261|-198.757
-330.061|-151.934,119.956|200
-351.172|130.946,17.3327|-200
296.014|175.446,-85.291|200
399.528|-13.7307,-187.915|-200
271.076|-186.944,-285.601|180.755
-394.183|-47.8835,-5.98395|-200
-93.5943|200,276.574|184.76
-93.5943|200,217.606|-199.224
-93.5943|200,81.4563|200
331.578|-150.622,-54.958|-200
114.271|200,-191.372|200
-133.639|-200,-315.309|-163.413
-343.766|139.038,142.953|200
239.575|-196.046,399.964|-3.8151
399.516|13.902,132.197|-200
212.004|199.639,-338.155|144.614
-280.557|-183.059,-109.09|-200
-309.079|167.636,156.791|200
308.231|-168.185,364.929|-113.131
283.321|181.818,-392.331|54.8514
-226.736|-198.205,282.932|-181.995
-398.745|22.3746,385.239|75.4078
-181.002|200,105.708|200
285.694|-180.711,-398.466|-24.7202
286.028|180.552,331.093|-151.045
-182.241|-200,321.72|158.696
-182.241|-200,-399.657|-11.7
-182.241|-200,372.722|-100.831
-398.527|-24.2287,153.899|200
-231.543|197.497,-137.059|-200
300.267|-173.051,-364.88|113.201
268.404|187.938,380.477|-86.1853
-120.135|-200,-12.3181|200
-388.208|67.6588,-386.382|-72.5378
345.571|137.147,399.331|16.3483
297.147|-174.821,-398.507|-24.39
-368.119|108.332,357.172|123.68
-32.0783|-200,208.466|-199.821
340.752|142.088,-18.1041|200
32.7716|-200,-242.221|-195.493
-302.111|171.969,-276.591|184.753
-171.083|-200,44.7584|-200
-30.1817|200,44.7584|-200
110.72|-200,44.7584|-200
249.436|193.794,335.026|147.539
185.541|-200,-13.2405|-200
120.64|200,-348.22|134.279
55.7387|-200,58.5967|-200
-9.16252|200,387.311|70.1035
-74.0638|-200,-394.182|47.8907
-138.965|200,46.8924|-200
-203.86|-199.963,399.994|-1.55119
-252.149|193.081,54.0482|200
-83.4751|-200,-391.008|-59.294
88.168|200,400|-0.290396
256.336|-191.902,-390.476|60.9823
190.779|200,42.6146|-200
123.868|-200,399.435|15.0216
56.9563|200,-48.0586|200
-9.95521|-200,-391.38|58.0827
-76.8667|200,-219.395|-199.057
-143.778|-200,178.359|200
-210.642|199.717,178.359|200
-234.187|-197.056,178.359|200
-118.166|200,398.87|-21.2326
-1.28566|-200,122.594|-200
115.595|200,-363.816|114.737
231.736|-197.466,52.197|-200
218.079|199.181,391.74|56.8833
130.717|-200,-366.552|110.727
43.1758|200,-209.517|-199.773
-44.3655|-200,43.0407|200
-131.907|200,284.044|-181.484
-219.245|-199.072,164.389|200
-228.263|197.993,164.389|200
-122.017|-200,164.389|200
-15.236|200,38.9271|-200
91.5452|-200,-86.5352|200
198.326|200,-86.5352|200
298.225|-174.218,-86.5352|200
-61.6714|200,-211.887|-199.646
-61.6714|200,-283.278|181.837
-61.6714|200,21.6911|-200
-364.046|-114.407,313.147|164.918
296.583|175.133,99.97|-200
343.961|-138.836,-133.701|200
-392.321|-54.8868,-336.131|-146.521
-70.2861|200,168.006|200
349.811|-132.502,395.125|43.8881
12.8895|200,258.589|-191.226
-337.212|-145.509,-366.516|110.781
-34.1041|200,-15.0452|-200
-34.1041|200,354.614|126.864
-34.1041|200,-75.1563|-200
295.509|-175.722,-395.227|43.4314
189.258|200,270.755|187.066
76.142|-200,399.626|12.221
-36.9742|200,293.045|-177.038
-150.09|-200,-361.572|-117.875
-260.552|190.613,-295.942|175.485
-122.562|-200,386.009|-73.488
18.7448|200,-244.61|194.961
160.051|-200,-399.172|18.185
293.215|176.949,-279.18|-183.659
18.3099|-200,397.406|-32.1093
-265.39|189.008,12.6735|200
-251.611|-193.226,-394.694|-45.7649
-6.14484|200,368.464|-107.795
240.91|-195.771,194.897|200
295.549|175.7,194.897|200
-132.234|-200,194.897|200
-397.294|32.7881,-30.6639|-200
7.99534|200,-252.301|193.041
395.973|39.9303,-246.213|-194.588
159.807|-200,-39.7582|200
-231.466|197.509,169.529|-200
-376.488|-94.0859,345.801|136.902
286.086|-180.525,-320.238|-159.821
399.944|4.71318,-272.026|186.58
277.485|184.38,190.975|-200
-389.057|65.2494,398.168|-27.0056
-152.028|-200,244.993|194.873
205.351|199.928,-345.286|-137.448
396.305|-38.2687,-129.851|200
107.155|-200,125.519|-200
-385.238|75.4123,125.519|-200
356.521|-124.504,125.519|-200
183.377|200,342.68|140.151
-30.0493|-200,-211.216|-199.685
-241.188|195.713,-390.958|-59.4559
-270.082|-187.319,-322.591|158.024
18.7293|200,264.317|189.376
18.7293|200,377.227|92.6848
18.7293|200,392.229|-55.2105
297.905|-174.398,301.033|-172.605
147.336|200,118.288|-200
-13.5285|-200,-352.474|-129.428
-174.393|200,-348.7|133.747
-319.363|-160.476,200.187|200
131.813|200,248.132|194.122
399.517|-13.8873,293.27|176.92
85.575|-200,332.968|149.398
-384.003|78.3772,364.908|113.16
355.038|-126.345,387.229|70.3223
187.837|200,398.629|23.382
187.837|200,398.441|-24.9223
187.837|200,386.678|-71.7728
-17.1017|-200,364.025|-114.436
-221.449|198.847,331.804|-150.425
-316.954|-162.24,291.895|-177.638
231.837|197.45,246.625|-194.489
